emp_no,first_name,last_name,dept_name,dept_no
10001,Georgi,Facello,Development,d005
10004,Chirstian,Koblick,Production,d004
10009,Sumant,Peac,Quality Management,d006
10018,Kazuhide,Peha,Development,d005
10018,Kazuhide,Peha,Production,d004
10035,Alain,Chappelet,Production,d004
10053,Sanjiv,Zschoche,Sales,d007
10058,Berhard,McFarlin,Marketing,d001
10066,Kwee,Schusler,Development,d005
10067,Claudi,Stavenow,Quality Management,d006
10070,Reuven,Garigliano,Research,d008
10070,Reuven,Garigliano,Development,d005
10072,Hironoby,Sidou,Development,d005
10076,Erez,Ritzmann,Development,d005
10088,Jungsoon,Syrzycki,Customer Service,d009
10088,Jungsoon,Syrzycki,Sales,d007
10100,Hironobu,Haraldson,Human Resources,d003
10103,Akemi,Birch,Development,d005
10126,Kayoko,Valtorta,Customer Service,d009
10129,Armond,Peir,Development,d005
10130,Nishit,Casperson,Production,d004
10134,Diederik,Siprelle,Development,d005
10134,Diederik,Siprelle,Production,d004
10138,Perry,Shimshoni,Quality Management,d006
10150,Zhenbing,Perng,Development,d005
10153,Heekeun,Majewski,Development,d005
10157,Nigel,Aloisi,Development,d005
10198,Pranav,Furedi,Development,d005
10215,Xiaobin,Duclos,Sales,d007
10224,Leon,Trogemann,Production,d004
10233,Lein,Vendrig,Human Resources,d003
10258,Basil,Ishibashi,Development,d005
10272,Yishai,Cannane,Finance,d002
10282,Hercules,Benzmuller,Production,d004
10283,Kauko,Birjandi,Development,d005
10326,Masali,Czap,Research,d008
10340,Djelloul,Laventhal,Marketing,d001
10347,Pradeep,Kaminger,Research,d008
10355,Satyanarayana,Cochrane,Sales,d007
10356,Vasilis,Standera,Research,d008
10364,Nakhoon,Dengi,Production,d004
10372,Anneli,Frijda,Production,d004
10387,Parto,Wrigley,Customer Service,d009
10396,Sibyl,Rahier,Development,d005
10402,Volkmar,Ebeling,Quality Management,d006
10404,Prodip,Rosti,Development,d005
10426,Arunas,Luce,Development,d005
10429,Martien,Improta,Development,d005
10432,Hisao,Tiemann,Customer Service,d009
10451,Bodh,Ranta,Production,d004
10453,Tsvetan,Matzel,Customer Service,d009
10463,Ung,Zaiane,Sales,d007
10486,Amstein,Kossowski,Quality Management,d006
10494,Yakkov,Servieres,Production,d004
10504,Xiong,Varker,Sales,d007
10512,Udi,Gihr,Human Resources,d003
10522,Marke,Cesareni,Human Resources,d003
10548,Ramalingam,Gunderson,Sales,d007
10548,Ramalingam,Gunderson,Marketing,d001
10564,Jianhao,Thisen,Production,d004
10623,Aleksander,Danlos,Research,d008
10623,Aleksander,Danlos,Development,d005
10628,Krisda,Krogh,Development,d005
10631,Inderjeet,Chaudhuri,Development,d005
10642,Hirochika,Narlikar,Development,d005
10653,Otmar,Feinberg,Development,d005
10671,Parviz,Rebaine,Human Resources,d003
10676,Valeri,Danley,Development,d005
10693,Berhard,Daescu,Customer Service,d009
10702,Bader,Szemeredi,Development,d005
10718,Adib,Rullman,Development,d005
10726,Zita,Minakawa,Development,d005
10734,Sachar,Erdi,Production,d004
10745,Poorav,Ranze,Production,d004
10749,King,Brendel,Production,d004
10767,Monique,Doering,Sales,d007
10768,Ishfaq,Candan,Production,d004
10778,Selwyn,Merey,Marketing,d001
10791,Tadahiko,Sgarro,Development,d005
10795,Supot,Naudin,Sales,d007
10808,Chenxi,Leijenhorst,Development,d005
10835,Tomoyuki,Kermarrec,Production,d004
10836,Jianhua,Leivant,Customer Service,d009
10836,Jianhua,Leivant,Sales,d007
10844,Dipayan,Koprowski,Development,d005
10847,Theirry,Danley,Research,d008
10848,Fen,Bratsberg,Production,d004
10878,Lakshmi,Deville,Sales,d007
10879,Muzhong,Chleq,Development,d005
10883,Shimshon,Champarnaud,Production,d004
10909,Georgi,Atchley,Development,d005
10921,Mara,Bahi,Production,d004
10924,Hironoby,Atchley,Sales,d007
10927,Gal,Scallan,Marketing,d001
10936,Mountaz,Schicker,Human Resources,d003
10943,Berna,Skafidas,Development,d005
10965,Eckart,Braunschweig,Sales,d007
10969,Premal,Noriega,Development,d005
10974,Muneo,Papsdorf,Development,d005
10986,Masako,Schiper,Development,d005
10988,Chinya,Deyuan,Development,d005
10989,Sumali,Candan,Finance,d002
10990,Shin,Foote,Development,d005
11009,Alper,Axelband,Sales,d007
